city,date,temp,humidity,wind,target
Delhi,2024-06-28,22.1,64,6.0,19.7
Delhi,2024-06-29,22.9,61,10.2,23.1
Delhi,2024-06-30,35.9,32,13.7,37.7
Delhi,2024-07-01,15.7,83,5.3,15.0
Delhi,2024-07-02,23.9,35,9.9,25.1
Delhi,2024-07-03,39.5,86,3.0,40.7
Delhi,2024-07-04,26.3,83,6.9,23.9
Delhi,2024-07-05,27.7,42,5.8,26.8
Delhi,2024-07-06,31.1,36,3.2,33.8
Delhi,2024-07-07,40.0,52,4.3,42.2
Delhi,2024-07-08,19.9,51,11.6,18.0
Delhi,2024-07-09,40.4,79,6.0,39.4
Delhi,2024-07-10,31.7,41,9.0,33.6
Delhi,2024-07-11,32.8,69,4.2,34.8
Delhi,2024-07-12,40.4,87,14.4,38.1
Delhi,2024-07-13,24.3,42,6.7,25.2
Delhi,2024-07-14,34.4,47,12.0,32.8
Delhi,2024-07-15,38.3,46,11.3,37.2
Delhi,2024-07-16,27.1,81,5.8,29.8
Delhi,2024-07-17,19.5,83,12.4,21.9
Delhi,2024-07-18,35.3,35,8.3,34.3
Delhi,2024-07-19,24.8,33,7.6,26.6
Delhi,2024-07-20,16.3,56,12.3,16.3
Delhi,2024-07-21,19.0,36,11.4,17.6
Delhi,2024-07-22,43.5,85,2.6,43.0
Delhi,2024-07-23,17.9,79,7.6,17.8
Delhi,2024-07-24,15.2,32,6.8,16.2
Delhi,2024-07-25,33.5,60,8.5,35.1
Delhi,2024-07-26,34.8,68,14.0,36.5
Delhi,2024-07-27,34.8,56,13.6,34.2
Delhi,2024-07-28,34.9,82,5.5,34.8
Delhi,2024-07-29,24.1,69,9.3,21.4
Delhi,2024-07-30,26.1,42,14.1,27.1
Delhi,2024-07-31,15.4,34,14.9,17.1
Delhi,2024-08-01,41.3,44,9.0,41.2
Delhi,2024-08-02,38.5,39,2.5,38.5
Delhi,2024-08-03,22.5,83,10.8,21.9
Delhi,2024-08-04,22.9,50,11.6,21.2
Delhi,2024-08-05,43.1,82,8.6,43.9
Delhi,2024-08-06,36.9,34,12.5,34.1
Delhi,2024-08-07,26.8,81,8.2,27.6
Delhi,2024-08-08,38.5,65,10.0,36.1
Delhi,2024-08-09,16.3,86,12.9,18.3
Delhi,2024-08-10,29.6,33,12.1,29.2
Delhi,2024-08-11,40.4,58,6.8,38.7
Delhi,2024-08-12,42.7,62,6.7,41.0
Delhi,2024-08-13,26.7,86,6.5,27.4
Delhi,2024-08-14,38.8,47,8.1,37.5
Delhi,2024-08-15,31.1,60,3.5,32.9
Delhi,2024-08-16,34.3,58,6.6,35.4
Delhi,2024-08-17,21.8,82,10.0,19.3
Delhi,2024-08-18,15.6,47,14.0,15.2
Delhi,2024-08-19,18.4,87,2.2,19.8
Delhi,2024-08-20,35.9,41,5.2,33.3
Delhi,2024-08-21,28.2,61,13.2,29.7
Delhi,2024-08-22,24.2,67,14.9,26.6
Delhi,2024-08-23,16.6,74,2.9,15.0
Delhi,2024-08-24,33.8,87,4.3,33.5
Delhi,2024-08-25,44.8,57,2.7,44.5
Delhi,2024-08-26,25.1,53,6.8,27.7
Delhi,2024-08-27,40.5,41,5.9,39.6
Delhi,2024-08-28,41.5,66,3.9,41.7
Delhi,2024-08-29,32.8,56,12.7,34.8
Delhi,2024-08-30,31.3,90,3.9,28.8
Delhi,2024-08-31,44.3,65,12.6,42.5
Delhi,2024-09-01,17.8,39,2.3,16.5
Delhi,2024-09-02,43.8,88,8.0,40.8
Delhi,2024-09-03,26.9,72,14.7,25.2
Delhi,2024-09-04,33.3,84,9.9,34.6
Delhi,2024-09-05,26.0,59,4.3,28.2
Delhi,2024-09-06,35.2,76,5.9,36.0
Delhi,2024-09-07,21.8,36,9.3,23.6
Delhi,2024-09-08,33.2,35,13.4,33.0
Delhi,2024-09-09,39.2,37,12.3,38.7
Delhi,2024-09-10,18.8,85,3.2,18.0
Delhi,2024-09-11,42.3,33,10.1,39.9
Delhi,2024-09-12,18.9,73,12.0,21.8
Delhi,2024-09-13,25.6,70,6.2,27.5
Delhi,2024-09-14,42.4,53,10.3,45.0
Delhi,2024-09-15,41.6,66,4.6,42.4
Delhi,2024-09-16,35.6,59,8.2,34.0
Delhi,2024-09-17,34.2,34,9.7,34.5
Delhi,2024-09-18,29.5,73,4.7,26.9
Delhi,2024-09-19,36.3,85,4.9,35.5
Delhi,2024-09-20,26.3,75,2.3,28.2
Delhi,2024-09-21,15.6,45,2.7,15.4
Delhi,2024-09-22,27.1,70,10.0,25.6
Delhi,2024-09-23,35.3,67,10.7,37.3
Delhi,2024-09-24,29.7,50,12.6,27.5
Delhi,2024-09-25,31.9,51,6.7,29.8
Delhi,2024-09-26,35.8,36,8.1,34.8
Delhi,2024-09-27,23.4,71,11.6,24.5
Delhi,2024-09-28,27.6,50,9.0,26.3
Delhi,2024-09-29,25.1,66,3.1,22.7
Delhi,2024-09-30,20.3,43,2.6,18.3
Delhi,2024-10-01,41.1,37,11.0,43.6
Delhi,2024-10-02,29.7,53,14.9,32.5
Delhi,2024-10-03,39.7,31,13.9,40.1
Delhi,2024-10-04,29.3,64,4.1,29.1
Delhi,2024-10-05,15.6,76,2.3,17.6
Delhi,2024-10-06,39.0,54,13.2,37.8
Delhi,2024-10-07,43.0,89,9.4,43.7
Delhi,2024-10-08,30.2,64,3.3,30.8
Delhi,2024-10-09,39.1,56,9.9,37.2
Delhi,2024-10-10,33.5,32,2.3,32.8
Delhi,2024-10-11,30.9,60,12.9,31.2
Delhi,2024-10-12,19.5,47,10.6,19.2
Delhi,2024-10-13,15.3,88,8.1,15.0
Delhi,2024-10-14,21.6,30,14.1,23.5
Delhi,2024-10-15,26.7,52,12.9,24.5
Delhi,2024-10-16,30.9,53,14.1,32.0
Delhi,2024-10-17,16.0,58,14.0,15.0
Delhi,2024-10-18,42.7,57,9.4,40.7
Delhi,2024-10-19,26.4,57,11.8,28.5
Delhi,2024-10-20,27.6,32,4.5,27.8
Delhi,2024-10-21,32.6,40,9.6,33.5
Delhi,2024-10-22,34.3,38,8.7,34.8
Delhi,2024-10-23,24.7,39,7.7,27.6
Delhi,2024-10-24,25.7,73,14.8,28.7
Delhi,2024-10-25,22.0,84,14.8,22.0
Delhi,2024-10-26,26.9,45,2.3,24.5
Delhi,2024-10-27,38.5,59,6.2,41.0
Delhi,2024-10-28,32.9,41,13.1,34.7
Delhi,2024-10-29,41.8,54,3.5,43.7
Delhi,2024-10-30,23.9,52,8.2,25.6
Delhi,2024-10-31,38.5,90,13.6,40.1
Delhi,2024-11-01,44.6,72,9.0,42.4
Delhi,2024-11-02,30.6,53,11.3,29.0
Delhi,2024-11-03,31.2,72,13.8,32.6
Delhi,2024-11-04,18.4,32,8.3,19.0
Delhi,2024-11-05,18.1,72,4.1,17.2
Delhi,2024-11-06,35.3,55,3.8,36.5
Delhi,2024-11-07,30.8,56,2.6,27.8
Delhi,2024-11-08,19.6,33,6.5,20.6
Delhi,2024-11-09,29.9,87,14.8,28.3
Delhi,2024-11-10,43.5,72,12.1,40.7
Delhi,2024-11-11,20.4,65,6.5,23.0
Delhi,2024-11-12,42.5,37,14.5,44.7
Delhi,2024-11-13,19.4,34,3.4,16.8
Delhi,2024-11-14,19.7,59,2.6,18.4
Delhi,2024-11-15,28.4,57,11.5,29.3
Delhi,2024-11-16,39.8,33,12.8,36.8
Delhi,2024-11-17,42.7,34,7.5,43.0
Delhi,2024-11-18,29.8,51,3.3,31.0
Delhi,2024-11-19,43.4,55,8.5,40.6
Delhi,2024-11-20,17.9,84,14.1,19.2
Delhi,2024-11-21,17.3,81,5.5,17.1
Delhi,2024-11-22,23.5,71,5.5,25.0
Delhi,2024-11-23,33.6,46,10.0,31.6
Delhi,2024-11-24,17.3,40,14.9,16.0
Delhi,2024-11-25,22.0,35,11.2,21.9
Delhi,2024-11-26,28.8,73,14.9,28.7
Delhi,2024-11-27,15.9,86,9.5,18.0
Delhi,2024-11-28,22.4,42,7.3,23.3
Delhi,2024-11-29,44.6,42,12.4,45.0
Delhi,2024-11-30,40.6,67,5.5,39.2
Delhi,2024-12-01,27.7,65,8.9,26.6
Delhi,2024-12-02,40.6,34,4.9,38.0
Delhi,2024-12-03,20.5,81,10.6,17.5
Delhi,2024-12-04,42.7,38,14.2,44.7
Delhi,2024-12-05,16.2,32,6.9,16.5
Delhi,2024-12-06,17.4,50,5.1,18.2
Delhi,2024-12-07,28.3,38,11.3,31.3
Delhi,2024-12-08,25.8,52,12.2,27.3
Delhi,2024-12-09,20.1,44,12.7,21.3
Delhi,2024-12-10,44.3,53,10.3,44.1
Delhi,2024-12-11,27.5,80,11.4,25.9
Delhi,2024-12-12,28.0,77,8.7,30.8
Delhi,2024-12-13,15.4,85,8.8,15.0
Delhi,2024-12-14,18.8,43,7.6,19.2
Delhi,2024-12-15,25.4,77,14.0,23.4
Delhi,2024-12-16,23.5,73,9.6,26.4
Delhi,2024-12-17,24.1,80,13.9,24.8
Delhi,2024-12-18,39.4,74,14.5,39.0
Delhi,2024-12-19,28.7,48,6.4,26.6
Delhi,2024-12-20,17.5,54,4.4,15.3
Delhi,2024-12-21,33.7,37,11.9,32.2
Delhi,2024-12-22,35.1,56,10.8,34.5
Delhi,2024-12-23,24.1,58,5.3,25.7
Delhi,2024-12-24,25.5,53,3.6,28.4
Delhi,2024-12-25,28.1,58,4.2,26.1
Delhi,2024-12-26,23.0,90,13.0,22.3
Delhi,2024-12-27,41.6,84,12.3,39.3
Delhi,2024-12-28,40.4,80,14.9,38.5
Delhi,2024-12-29,39.4,80,10.3,40.7
Delhi,2024-12-30,28.0,73,12.8,27.9
Delhi,2024-12-31,20.9,79,8.5,20.4
Delhi,2025-01-01,40.1,88,7.4,39.2
Delhi,2025-01-02,15.9,90,13.5,15.0
Delhi,2025-01-03,43.2,62,6.7,41.2
Delhi,2025-01-04,17.2,37,4.2,16.1
Delhi,2025-01-05,40.2,89,7.9,38.7
Delhi,2025-01-06,22.8,78,9.2,25.0
Delhi,2025-01-07,20.7,85,8.7,17.8
Delhi,2025-01-08,22.8,39,11.3,21.3
Delhi,2025-01-09,16.8,32,3.4,18.3
Delhi,2025-01-10,41.1,30,3.3,39.8
Delhi,2025-01-11,20.5,82,11.1,18.8
Delhi,2025-01-12,19.0,84,14.2,17.9
Delhi,2025-01-13,43.6,78,2.7,45.0
Delhi,2025-01-14,17.9,79,11.7,16.0
Delhi,2025-01-15,38.9,68,8.0,40.7
Delhi,2025-01-16,34.0,37,8.6,33.8
Delhi,2025-01-17,18.1,54,13.7,17.0
Delhi,2025-01-18,16.0,41,9.0,16.9
Delhi,2025-01-19,33.3,65,12.1,35.4
Delhi,2025-01-20,30.4,72,11.4,33.0
Delhi,2025-01-21,26.6,69,6.5,24.8
Delhi,2025-01-22,39.1,67,6.3,36.9
Delhi,2025-01-23,43.3,40,4.9,41.2
Delhi,2025-01-24,39.9,87,9.5,39.4
Delhi,2025-01-25,41.2,67,2.5,39.1
Delhi,2025-01-26,18.2,70,4.0,17.3
Delhi,2025-01-27,44.1,75,11.7,44.7
Delhi,2025-01-28,22.7,44,10.6,25.2
Delhi,2025-01-29,42.4,70,5.3,43.9
Delhi,2025-01-30,17.9,53,9.5,20.7
Delhi,2025-01-31,45.0,34,6.7,45.0
Delhi,2025-02-01,28.2,66,13.0,27.5
Delhi,2025-02-02,42.7,52,9.7,41.0
Delhi,2025-02-03,26.7,69,6.3,26.7
Delhi,2025-02-04,40.0,85,5.9,39.2
Delhi,2025-02-05,36.0,74,14.7,35.9
Delhi,2025-02-06,32.6,54,3.6,35.1
Delhi,2025-02-07,43.1,48,6.8,45.0
Delhi,2025-02-08,26.1,65,14.8,26.8
Delhi,2025-02-09,15.7,65,4.5,15.0
Delhi,2025-02-10,41.5,33,13.8,42.1
Delhi,2025-02-11,27.1,64,9.0,26.7
Delhi,2025-02-12,21.0,73,2.1,21.2
Delhi,2025-02-13,37.0,71,14.4,34.4
Delhi,2025-02-14,40.0,52,11.0,38.8
Delhi,2025-02-15,16.6,61,13.0,15.9
Delhi,2025-02-16,43.7,58,6.5,45.0
Delhi,2025-02-17,36.0,89,10.0,38.4
Delhi,2025-02-18,39.9,89,6.1,37.7
Delhi,2025-02-19,26.0,48,13.4,23.8
Delhi,2025-02-20,42.3,61,8.1,41.8
Delhi,2025-02-21,27.2,87,4.2,29.3
Delhi,2025-02-22,22.1,50,4.9,24.4
Delhi,2025-02-23,41.2,66,13.6,43.5
Delhi,2025-02-24,35.1,30,5.9,32.3
Delhi,2025-02-25,25.2,42,9.0,24.5
Delhi,2025-02-26,44.3,67,12.7,41.4
Delhi,2025-02-27,18.8,61,8.0,19.4
Delhi,2025-02-28,29.9,80,14.4,30.7
Delhi,2025-03-01,23.0,64,4.1,22.5
Delhi,2025-03-02,38.6,51,12.9,37.6
Delhi,2025-03-03,22.7,87,3.1,23.3
Delhi,2025-03-04,28.7,72,10.0,30.8
Delhi,2025-03-05,39.3,64,6.3,41.1
Delhi,2025-03-06,38.8,66,14.2,37.4
Delhi,2025-03-07,33.2,79,13.3,32.9
Delhi,2025-03-08,16.4,80,14.8,15.0
Delhi,2025-03-09,28.8,61,10.4,30.2
Delhi,2025-03-10,32.6,82,8.4,31.2
Delhi,2025-03-11,29.4,43,11.4,27.1
Delhi,2025-03-12,21.9,41,4.8,23.6
Delhi,2025-03-13,19.8,67,11.2,18.1
Delhi,2025-03-14,32.0,72,14.6,29.4
Delhi,2025-03-15,19.4,33,2.1,19.1
Delhi,2025-03-16,31.2,90,9.5,29.1
Delhi,2025-03-17,27.6,62,12.0,27.2
Delhi,2025-03-18,42.8,86,6.1,42.9
Delhi,2025-03-19,17.6,59,15.0,15.9
Delhi,2025-03-20,32.8,46,5.9,32.2
Delhi,2025-03-21,30.7,71,12.3,29.3
Delhi,2025-03-22,15.9,39,11.1,15.0
Delhi,2025-03-23,36.3,46,8.4,38.6
Delhi,2025-03-24,28.9,87,2.6,26.3
Delhi,2025-03-25,30.7,35,12.6,32.1
Delhi,2025-03-26,33.2,90,10.7,36.1
Delhi,2025-03-27,43.9,57,9.6,44.6
Delhi,2025-03-28,15.9,84,4.3,15.0
Delhi,2025-03-29,35.9,40,14.0,36.2
Delhi,2025-03-30,30.2,38,9.9,29.2
Delhi,2025-03-31,29.4,88,10.6,31.8
Delhi,2025-04-01,31.0,78,10.8,30.6
Delhi,2025-04-02,28.1,47,4.4,26.1
Delhi,2025-04-03,19.0,48,2.9,19.9
Delhi,2025-04-04,21.1,64,11.0,20.5
Delhi,2025-04-05,26.3,60,9.2,24.4
Delhi,2025-04-06,27.2,72,7.8,26.9
Delhi,2025-04-07,23.7,32,9.4,22.7
Delhi,2025-04-08,21.5,68,14.6,20.4
Delhi,2025-04-09,36.1,63,13.3,36.8
Delhi,2025-04-10,42.2,41,5.1,43.0
Delhi,2025-04-11,43.2,52,3.9,42.4
Delhi,2025-04-12,20.8,80,13.5,22.7
Delhi,2025-04-13,41.3,80,12.4,43.8
Delhi,2025-04-14,21.3,34,13.4,23.2
Delhi,2025-04-15,35.8,64,10.3,34.5
Delhi,2025-04-16,33.2,83,7.0,32.0
Delhi,2025-04-17,22.8,53,2.5,24.3
Delhi,2025-04-18,31.7,57,5.3,31.7
Delhi,2025-04-19,37.4,39,13.1,39.7
Delhi,2025-04-20,17.3,68,11.2,15.9
Delhi,2025-04-21,36.6,54,11.4,35.3
Delhi,2025-04-22,38.6,47,2.8,37.0
Delhi,2025-04-23,40.1,42,5.2,42.4
Delhi,2025-04-24,23.8,49,13.4,26.1
Delhi,2025-04-25,33.7,56,8.6,35.1
Delhi,2025-04-26,33.0,64,10.0,32.8
Delhi,2025-04-27,44.6,71,11.4,44.2
Delhi,2025-04-28,44.6,66,6.6,43.2
Delhi,2025-04-29,31.9,72,7.6,33.5
Delhi,2025-04-30,37.8,88,3.7,36.4
Delhi,2025-05-01,25.6,73,13.1,22.6
Delhi,2025-05-02,42.5,89,11.9,41.0
Delhi,2025-05-03,33.8,67,14.1,31.6
Delhi,2025-05-04,21.7,60,2.8,22.8
Delhi,2025-05-05,24.3,43,9.9,24.1
Delhi,2025-05-06,43.0,41,4.9,40.7
Delhi,2025-05-07,35.9,53,5.1,36.7
Delhi,2025-05-08,29.8,68,3.9,31.8
Delhi,2025-05-09,22.0,55,6.2,22.8
Delhi,2025-05-10,19.7,55,13.1,22.6
Delhi,2025-05-11,35.8,53,6.7,38.6
Delhi,2025-05-12,33.7,89,11.3,36.3
Delhi,2025-05-13,21.7,80,13.9,22.6
Delhi,2025-05-14,40.8,90,13.1,42.3
Delhi,2025-05-15,38.5,61,14.2,40.8
Delhi,2025-05-16,33.2,62,4.6,35.1
Delhi,2025-05-17,32.7,79,12.1,31.5
Delhi,2025-05-18,37.3,90,14.6,35.7
Delhi,2025-05-19,40.4,37,13.8,41.0
Delhi,2025-05-20,32.9,53,14.9,35.0
Delhi,2025-05-21,38.9,85,8.0,37.1
Delhi,2025-05-22,24.4,62,2.7,26.7
Delhi,2025-05-23,18.3,54,14.0,21.1
Delhi,2025-05-24,31.1,55,12.2,28.9
Delhi,2025-05-25,36.3,81,3.5,36.3
Delhi,2025-05-26,44.8,53,9.6,43.5
Delhi,2025-05-27,44.1,70,12.1,42.4
Delhi,2025-05-28,29.9,85,5.2,29.4
Delhi,2025-05-29,23.9,73,7.0,21.2
Delhi,2025-05-30,21.0,39,5.1,22.0
Delhi,2025-05-31,45.0,66,10.4,45.0
Delhi,2025-06-01,29.9,75,3.4,29.9
Delhi,2025-06-02,18.0,61,4.2,20.9
Delhi,2025-06-03,16.8,83,12.9,15.0
Delhi,2025-06-04,35.3,59,7.7,36.1
Delhi,2025-06-05,26.3,48,3.3,25.4
Delhi,2025-06-06,22.2,64,5.6,24.5
Delhi,2025-06-07,39.0,54,3.8,38.4
Delhi,2025-06-08,30.1,38,14.3,32.7
Delhi,2025-06-09,16.3,71,14.0,15.0
Delhi,2025-06-10,31.7,59,10.1,30.7
Delhi,2025-06-11,43.5,52,11.9,41.0
Delhi,2025-06-12,36.3,79,5.9,38.3
Delhi,2025-06-13,33.7,66,2.0,32.1
Delhi,2025-06-14,27.8,53,9.9,26.7
Delhi,2025-06-15,39.3,37,7.3,42.1
Delhi,2025-06-16,42.0,59,2.1,43.1
Delhi,2025-06-17,24.3,51,4.8,24.2
Delhi,2025-06-18,40.8,87,13.7,42.4
Delhi,2025-06-19,26.4,87,6.3,23.7
Delhi,2025-06-20,32.0,85,12.3,33.7
Delhi,2025-06-21,35.6,65,7.1,35.1
Delhi,2025-06-22,20.3,65,11.6,18.2
Delhi,2025-06-23,43.5,39,10.1,45.0
Delhi,2025-06-24,15.2,38,10.3,15.0
Delhi,2025-06-25,41.8,56,8.9,41.7
Delhi,2025-06-26,39.7,35,3.7,39.8
Delhi,2025-06-27,29.7,72,13.9,28.1
Delhi,2025-06-28,42.0,62,11.6,44.5
Mumbai,2024-06-28,41.5,42,8.5,40.8
Mumbai,2024-06-29,38.8,36,10.5,39.1
Mumbai,2024-06-30,24.8,54,4.4,24.8
Mumbai,2024-07-01,30.0,86,4.6,27.2
Mumbai,2024-07-02,26.2,86,5.6,26.2
Mumbai,2024-07-03,40.8,77,14.5,43.5
Mumbai,2024-07-04,43.0,72,5.2,40.8
Mumbai,2024-07-05,37.2,74,10.6,39.2
Mumbai,2024-07-06,44.4,71,7.6,44.3
Mumbai,2024-07-07,23.0,63,3.5,21.8
Mumbai,2024-07-08,15.2,88,6.1,15.0
Mumbai,2024-07-09,35.4,57,11.7,32.4
Mumbai,2024-07-10,25.4,60,13.0,24.0
Mumbai,2024-07-11,31.6,30,10.4,32.8
Mumbai,2024-07-12,23.2,66,8.5,21.0
Mumbai,2024-07-13,31.3,48,6.5,33.4
Mumbai,2024-07-14,25.6,63,4.4,25.4
Mumbai,2024-07-15,17.0,89,3.6,16.2
Mumbai,2024-07-16,22.6,57,2.3,23.2
Mumbai,2024-07-17,15.1,38,13.4,16.3
Mumbai,2024-07-18,17.6,30,12.2,18.6
Mumbai,2024-07-19,40.2,45,8.1,38.2
Mumbai,2024-07-20,17.5,69,2.6,16.3
Mumbai,2024-07-21,38.7,67,7.4,38.7
Mumbai,2024-07-22,23.0,54,7.9,21.6
Mumbai,2024-07-23,33.0,54,4.9,34.8
Mumbai,2024-07-24,18.2,78,3.2,19.8
Mumbai,2024-07-25,31.4,33,6.9,31.0
Mumbai,2024-07-26,42.4,64,13.9,39.6
Mumbai,2024-07-27,35.7,62,9.7,34.3
Mumbai,2024-07-28,26.5,71,5.3,24.9
Mumbai,2024-07-29,28.1,56,13.6,26.8
Mumbai,2024-07-30,39.9,84,2.5,40.9
Mumbai,2024-07-31,17.2,86,4.6,18.3
Mumbai,2024-08-01,32.4,80,6.6,34.9
Mumbai,2024-08-02,18.3,79,4.6,19.6
Mumbai,2024-08-03,16.3,30,5.7,18.5
Mumbai,2024-08-04,38.1,71,6.2,40.9
Mumbai,2024-08-05,38.0,52,6.1,38.3
Mumbai,2024-08-06,38.5,82,6.3,40.9
Mumbai,2024-08-07,38.0,51,4.3,35.9
Mumbai,2024-08-08,18.9,30,10.1,19.6
Mumbai,2024-08-09,28.3,42,14.3,30.2
Mumbai,2024-08-10,42.1,46,4.7,44.8
Mumbai,2024-08-11,30.0,67,13.1,27.8
Mumbai,2024-08-12,31.5,68,12.3,30.0
Mumbai,2024-08-13,32.8,75,8.3,35.4
Mumbai,2024-08-14,39.2,76,2.8,39.4
Mumbai,2024-08-15,23.0,76,14.7,21.7
Mumbai,2024-08-16,29.6,89,11.3,31.5
Mumbai,2024-08-17,19.3,54,8.6,21.8
Mumbai,2024-08-18,17.6,88,2.3,18.3
Mumbai,2024-08-19,42.4,59,14.8,41.5
Mumbai,2024-08-20,39.8,80,5.6,39.7
Mumbai,2024-08-21,33.8,47,2.9,33.8
Mumbai,2024-08-22,43.1,82,11.2,41.3
Mumbai,2024-08-23,21.9,82,14.7,20.8
Mumbai,2024-08-24,34.8,37,13.0,35.2
Mumbai,2024-08-25,27.8,80,14.0,29.5
Mumbai,2024-08-26,20.0,49,2.6,20.2
Mumbai,2024-08-27,39.0,69,5.7,40.3
Mumbai,2024-08-28,32.4,55,9.5,29.4
Mumbai,2024-08-29,26.5,83,13.8,28.8
Mumbai,2024-08-30,22.1,60,11.2,22.1
Mumbai,2024-08-31,25.0,57,3.9,26.4
Mumbai,2024-09-01,35.4,90,7.9,36.3
Mumbai,2024-09-02,26.4,82,15.0,26.5
Mumbai,2024-09-03,23.3,62,11.7,22.7
Mumbai,2024-09-04,31.6,41,8.1,34.0
Mumbai,2024-09-05,23.9,62,2.5,25.6
Mumbai,2024-09-06,41.9,41,4.0,40.9
Mumbai,2024-09-07,31.8,37,9.0,31.3
Mumbai,2024-09-08,19.5,32,11.7,20.8
Mumbai,2024-09-09,27.1,56,8.2,26.5
Mumbai,2024-09-10,32.7,65,10.8,31.0
Mumbai,2024-09-11,39.3,40,13.5,36.7
Mumbai,2024-09-12,27.6,69,3.3,30.1
Mumbai,2024-09-13,44.0,47,3.7,42.4
Mumbai,2024-09-14,31.0,74,7.5,28.4
Mumbai,2024-09-15,26.1,56,3.5,27.8
Mumbai,2024-09-16,24.1,78,6.7,25.8
Mumbai,2024-09-17,18.5,38,6.8,20.4
Mumbai,2024-09-18,33.6,50,13.6,31.5
Mumbai,2024-09-19,18.7,83,11.4,16.4
Mumbai,2024-09-20,29.4,30,13.5,29.4
Mumbai,2024-09-21,40.9,34,3.8,39.7
Mumbai,2024-09-22,21.8,44,4.8,21.4
Mumbai,2024-09-23,31.6,41,14.9,30.8
Mumbai,2024-09-24,37.3,33,3.2,38.2
Mumbai,2024-09-25,43.8,88,8.4,45.0
Mumbai,2024-09-26,28.5,49,13.7,26.3
Mumbai,2024-09-27,18.2,40,13.7,15.3
Mumbai,2024-09-28,28.7,80,10.5,27.5
Mumbai,2024-09-29,41.9,57,4.8,39.2
Mumbai,2024-09-30,40.3,80,13.7,41.8
Mumbai,2024-10-01,38.5,68,6.4,39.2
Mumbai,2024-10-02,39.9,37,13.8,37.8
Mumbai,2024-10-03,19.6,73,8.1,16.9
Mumbai,2024-10-04,28.7,35,9.5,28.7
Mumbai,2024-10-05,32.3,88,2.4,31.1
Mumbai,2024-10-06,30.6,67,4.6,29.4
Mumbai,2024-10-07,16.9,49,12.1,15.0
Mumbai,2024-10-08,38.9,78,6.9,41.7
Mumbai,2024-10-09,21.5,38,12.4,24.2
Mumbai,2024-10-10,26.0,61,4.2,24.6
Mumbai,2024-10-11,19.0,79,13.0,19.0
Mumbai,2024-10-12,24.5,41,12.5,23.0
Mumbai,2024-10-13,45.0,36,12.9,42.5
Mumbai,2024-10-14,37.0,48,12.2,39.0
Mumbai,2024-10-15,23.8,42,8.0,24.6
Mumbai,2024-10-16,36.2,61,8.8,37.2
Mumbai,2024-10-17,26.7,42,9.7,23.9
Mumbai,2024-10-18,34.5,69,3.4,32.0
Mumbai,2024-10-19,24.4,85,3.3,23.1
Mumbai,2024-10-20,31.9,47,14.0,34.8
